stid,seqNum,latitude,longitude,time,behavior
26574376,199,33.64317,-84.42732,2025-04-12 11:10:45+00:00,1
26574376,245,33.64312,-84.42732,2025-04-12 11:10:46+00:00,1
26574376,7,33.64309,-84.42728,2025-04-12 11:10:47+00:00,1
26574376,54,33.64304,-84.42728,2025-04-12 11:10:48+00:00,1
26574376,100,33.64296,-84.4273,2025-04-12 11:10:49+00:00,1
26574376,147,33.6429,-84.4273,2025-04-12 11:10:50+00:00,1
26574376,191,33.642830000000004,-84.42733,2025-04-12 11:10:51+00:00,1
26574376,240,33.64278,-84.42734,2025-04-12 11:10:52+00:00,1
26574376,32,33.64273,-84.42734,2025-04-12 11:10:53+00:00,1
26574376,77,33.64268,-84.42734,2025-04-12 11:10:54+00:00,1
26574376,121,33.64267,-84.42734,2025-04-12 11:10:55+00:00,1
26574376,164,33.64262,-84.42735,2025-04-12 11:10:56+00:00,1
26574376,211,33.64264,-84.42733,2025-04-12 11:10:57+00:00,1
26574526,187,33.63466,-84.41752,2025-04-12 11:10:45+00:00,1
26574526,232,33.63466,-84.41752,2025-04-12 11:10:46+00:00,1
26574526,23,33.63466,-84.41752,2025-04-12 11:10:47+00:00,1
26574526,67,33.63466,-84.41752,2025-04-12 11:10:48+00:00,1
26574526,112,33.63466,-84.41752,2025-04-12 11:10:49+00:00,1
26574526,158,33.63466,-84.41752,2025-04-12 11:10:50+00:00,1
26574526,202,33.63466,-84.41752,2025-04-12 11:10:51+00:00,1
26574526,22,33.63466,-84.41752,2025-04-12 11:10:52+00:00,1
26574526,26,33.63466,-84.41752,2025-04-12 11:10:53+00:00,1
26574526,72,33.63466,-84.41752,2025-04-12 11:10:54+00:00,1
26574526,129,33.63466,-84.41752,2025-04-12 11:10:55+00:00,1
26574526,196,33.63466,-84.41752,2025-04-12 11:10:56+00:00,1
26574526,244,33.63466,-84.41752,2025-04-12 11:10:57+00:00,1
26574615,207,33.74113,-84.58248,2025-04-12 11:10:45+00:00,6
26574615,253,33.74246,-84.58231,2025-04-12 11:10:46+00:00,6
26574615,41,33.74378,-84.58215,2025-04-12 11:10:47+00:00,6
26574615,86,33.74511,-84.58198,2025-04-12 11:10:48+00:00,6
26574615,130,33.74644,-84.58181,2025-04-12 11:10:49+00:00,6
26574615,177,33.74777,-84.58165,2025-04-12 11:10:50+00:00,6
26574615,220,33.7491,-84.58148,2025-04-12 11:10:51+00:00,6
26574615,8,33.75043,-84.58131,2025-04-12 11:10:52+00:00,6
26574615,55,33.75176,-84.58115,2025-04-12 11:10:53+00:00,6
26574615,97,33.75308,-84.58098,2025-04-12 11:10:54+00:00,6
26574615,141,33.75441,-84.58081,2025-04-12 11:10:55+00:00,6
26574615,180,33.75574,-84.58065,2025-04-12 11:10:56+00:00,6
26574615,229,33.75707,-84.58048,2025-04-12 11:10:57+00:00,6
26574620,212,33.63395,-84.62502,2025-04-12 11:10:45+00:00,6
26574620,2,33.63395,-84.62652,2025-04-12 11:10:46+00:00,6
26574620,45,33.63394,-84.62802,2025-04-12 11:10:47+00:00,6
26574620,53,33.63383,-84.62949,2025-04-12 11:10:48+00:00,6
26574620,140,33.63382,-84.63099,2025-04-12 11:10:49+00:00,6
26574620,186,33.63381,-84.63249,2025-04-12 11:10:50+00:00,6
26574620,229,33.63381,-84.63399,2025-04-12 11:10:51+00:00,6
26574620,16,33.6338,-84.63549,2025-04-12 11:10:52+00:00,6
26574620,63,33.63379,-84.63699,2025-04-12 11:10:53+00:00,6
26574620,105,33.63378,-84.63849,2025-04-12 11:10:54+00:00,6
26574620,149,33.63377,-84.63999,2025-04-12 11:10:55+00:00,6
26574620,188,33.63377,-84.64148,2025-04-12 11:10:56+00:00,6
26574620,237,33.63376,-84.64298,2025-04-12 11:10:57+00:00,6
26574647,183,33.64541,-84.4144,2025-04-12 11:10:45+00:00,1
26574647,228,33.64538,-84.41427,2025-04-12 11:10:46+00:00,1
26574647,19,33.64538,-84.41411,2025-04-12 11:10:47+00:00,1
26574647,96,33.64539,-84.41397,2025-04-12 11:10:48+00:00,1
26574647,98,33.64538,-84.41382,2025-04-12 11:10:49+00:00,1
26574647,145,33.6454,-84.41368,2025-04-12 11:10:50+00:00,1
26574647,190,33.64541,-84.41355,2025-04-12 11:10:51+00:00,1
26574647,239,33.64542,-84.41342,2025-04-12 11:10:52+00:00,1
26574647,31,33.6454,-84.41329,2025-04-12 11:10:53+00:00,1
26574647,111,33.64542,-84.41315,2025-04-12 11:10:54+00:00,1
26574647,115,33.64542,-84.41301,2025-04-12 11:10:55+00:00,1
26574647,159,33.64543,-84.41288,2025-04-12 11:10:56+00:00,1
26574647,206,33.64543,-84.41275,2025-04-12 11:10:57+00:00,1
26574659,176,33.64952,-84.42372,2025-04-12 11:10:45+00:00,1
26574659,221,33.6495,-84.4242,2025-04-12 11:10:46+00:00,1
26574659,12,33.6495,-84.42468,2025-04-12 11:10:47+00:00,1
26574659,59,33.64953,-84.42513,2025-04-12 11:10:48+00:00,1
26574659,105,33.64951,-84.42558,2025-04-12 11:10:49+00:00,1
26574659,188,33.64951,-84.426,2025-04-12 11:10:50+00:00,1
26574659,231,33.64952,-84.42636,2025-04-12 11:10:51+00:00,1
26574659,18,33.6495,-84.42672,2025-04-12 11:10:52+00:00,1
26574659,25,33.64952,-84.42703,2025-04-12 11:10:53+00:00,1
26574659,110,33.6495,-84.4273,2025-04-12 11:10:54+00:00,1
26574659,114,33.6495,-84.42761,2025-04-12 11:10:55+00:00,1
26574659,197,33.6495,-84.4279,2025-04-12 11:10:56+00:00,1
26574659,203,33.6495,-84.42817,2025-04-12 11:10:57+00:00,1
26574688,208,33.63669,-84.42235,2025-04-12 11:10:45+00:00,1
26574688,254,33.63677,-84.42242,2025-04-12 11:10:46+00:00,1
26574688,42,33.63673,-84.42238,2025-04-12 11:10:47+00:00,1
26574688,87,33.63678,-84.42234,2025-04-12 11:10:48+00:00,1
26574688,131,33.63681,-84.4223,2025-04-12 11:10:49+00:00,1
26574688,178,33.63683,-84.42226,2025-04-12 11:10:50+00:00,1
26574688,221,33.6369,-84.42227,2025-04-12 11:10:51+00:00,1
26574688,237,33.6369,-84.42225,2025-04-12 11:10:52+00:00,1
26574688,30,33.63695,-84.42225,2025-04-12 11:10:53+00:00,1
26574688,76,33.637,-84.42226,2025-04-12 11:10:54+00:00,1
26574688,120,33.63703,-84.42229,2025-04-12 11:10:55+00:00,1
26574688,163,33.63711,-84.42229,2025-04-12 11:10:56+00:00,1
26574688,210,33.63713,-84.42228,2025-04-12 11:10:57+00:00,1
26574690,179,33.63802,-84.42039,2025-04-12 11:10:45+00:00,1
26574690,224,33.63802,-84.42039,2025-04-12 11:10:46+00:00,1
26574690,15,33.63802,-84.42039,2025-04-12 11:10:47+00:00,1
26574690,68,33.63802,-84.42039,2025-04-12 11:10:48+00:00,1
26574690,139,33.63802,-84.42039,2025-04-12 11:10:49+00:00,1
26574690,185,33.63802,-84.42039,2025-04-12 11:10:50+00:00,1
26574690,228,33.63802,-84.42039,2025-04-12 11:10:51+00:00,1
26574690,15,33.63802,-84.42039,2025-04-12 11:10:52+00:00,1
26574690,62,33.63802,-84.42039,2025-04-12 11:10:53+00:00,1
26574690,104,33.63802,-84.42039,2025-04-12 11:10:54+00:00,1
26574690,148,33.63802,-84.42039,2025-04-12 11:10:55+00:00,1
26574690,187,33.63802,-84.42039,2025-04-12 11:10:56+00:00,1
26574690,236,33.63802,-84.42039,2025-04-12 11:10:57+00:00,1
26574714,214,33.64468,-84.42775,2025-04-12 11:10:45+00:00,1
26574714,4,33.64463,-84.42776,2025-04-12 11:10:46+00:00,1
26574714,47,33.64462,-84.4278,2025-04-12 11:10:47+00:00,1
