stid,seqNum,latitude,longitude,time,behavior
2557131,220,35.21052,-80.95824,2025-04-12 11:10:45+00:00,1
2557131,71,35.21053,-80.95824,2025-04-12 11:10:46+00:00,1
2557131,178,35.21052,-80.95824,2025-04-12 11:10:47+00:00,1
2557131,28,35.21052,-80.95824,2025-04-12 11:10:48+00:00,1
2557131,133,35.21052,-80.95824,2025-04-12 11:10:49+00:00,1
2557131,239,35.21052,-80.95824,2025-04-12 11:10:50+00:00,1
2557131,85,35.21052,-80.95824,2025-04-12 11:10:51+00:00,1
2557131,192,35.21052,-80.95824,2025-04-12 11:10:52+00:00,1
2557131,44,35.21052,-80.95824,2025-04-12 11:10:53+00:00,1
2557131,150,35.21052,-80.95824,2025-04-12 11:10:54+00:00,1
2557131,4,35.21052,-80.95824,2025-04-12 11:10:55+00:00,1
2557131,115,35.21052,-80.95824,2025-04-12 11:10:56+00:00,1
2557131,223,35.21052,-80.95824,2025-04-12 11:10:57+00:00,1
2557131,235,35.21052,-80.95824,2025-04-12 11:25:50+00:00,1
2557131,113,35.21053,-80.95824,2025-04-12 11:25:51+00:00,1
2557131,243,35.21053,-80.95824,2025-04-12 11:25:52+00:00,1
2557131,122,35.21053,-80.95824,2025-04-12 11:25:53+00:00,1
2557131,3,35.21052,-80.95824,2025-04-12 11:25:54+00:00,1
2557131,133,35.21052,-80.95824,2025-04-12 11:25:55+00:00,1
2557131,14,35.21052,-80.95824,2025-04-12 11:25:56+00:00,1
2557131,144,35.21052,-80.95824,2025-04-12 11:25:57+00:00,1
2557131,25,35.21053,-80.95824,2025-04-12 11:25:58+00:00,1
2557131,161,35.21052,-80.95824,2025-04-12 11:25:59+00:00,1
2557131,38,35.21052,-80.95824,2025-04-12 11:26:00+00:00,1
2557131,175,35.21053,-80.95824,2025-04-12 11:26:01+00:00,1
2557131,54,35.21052,-80.95824,2025-04-12 11:26:02+00:00,1
2557131,188,35.21052,-80.95824,2025-04-12 11:26:03+00:00,1
2557131,239,35.21052,-80.95824,2025-04-12 11:38:41+00:00,1
2557131,131,35.21052,-80.95824,2025-04-12 11:38:42+00:00,1
2557131,34,35.21052,-80.95824,2025-04-12 11:38:43+00:00,1
2557131,199,35.21052,-80.95824,2025-04-12 11:38:44+00:00,1
2557131,235,35.21052,-80.95824,2025-04-12 11:38:46+00:00,1
2557131,88,35.21052,-80.95824,2025-04-12 11:38:45+00:00,1
2557131,129,35.21052,-80.95824,2025-04-12 11:38:47+00:00,1
2557131,30,35.21053,-80.95824,2025-04-12 11:38:48+00:00,1
2557131,193,35.21053,-80.95824,2025-04-12 11:38:49+00:00,1
2557131,83,35.21052,-80.95824,2025-04-12 11:38:50+00:00,1
2557131,232,35.21052,-80.95824,2025-04-12 11:38:51+00:00,1
2557131,125,35.21052,-80.95824,2025-04-12 11:38:52+00:00,1
2557131,15,35.21053,-80.95824,2025-04-12 11:38:53+00:00,1
2557131,184,35.21053,-80.95824,2025-04-12 11:38:54+00:00,1
2557131,78,35.21053,-80.95824,2025-04-12 11:38:55+00:00,1
2557131,168,35.21053,-80.95824,2025-04-12 11:54:39+00:00,1
2557131,39,35.21053,-80.95824,2025-04-12 11:54:40+00:00,1
2557131,175,35.21053,-80.95824,2025-04-12 11:54:41+00:00,1
2557131,52,35.21053,-80.95824,2025-04-12 11:54:42+00:00,1
2557131,186,35.21053,-80.95824,2025-04-12 11:54:43+00:00,1
2557131,60,35.21053,-80.95824,2025-04-12 11:54:44+00:00,1
2557131,191,35.21053,-80.95824,2025-04-12 11:54:45+00:00,1
2557131,69,35.21053,-80.95824,2025-04-12 11:54:46+00:00,1
2557131,199,35.21053,-80.95824,2025-04-12 11:54:47+00:00,1
2557131,76,35.21053,-80.95824,2025-04-12 11:54:48+00:00,1
2557131,203,35.21053,-80.95824,2025-04-12 11:54:49+00:00,1
2557131,77,35.21053,-80.95824,2025-04-12 11:54:50+00:00,1
2557131,208,35.21053,-80.95824,2025-04-12 11:54:51+00:00,1
2557549,8,35.21658,-80.93119,2025-04-12 11:10:45+00:00,1
2557549,115,35.21658,-80.93118,2025-04-12 11:10:46+00:00,1
2557549,222,35.21658,-80.9312,2025-04-12 11:10:47+00:00,1
2557549,72,35.21658,-80.9312,2025-04-12 11:10:48+00:00,1
2557549,176,35.21658,-80.93121,2025-04-12 11:10:49+00:00,1
2557549,26,35.21658,-80.93122,2025-04-12 11:10:50+00:00,1
2557549,128,35.21658,-80.93122,2025-04-12 11:10:51+00:00,1
2557549,234,35.21659,-80.93126,2025-04-12 11:10:52+00:00,1
2557549,86,35.21659,-80.93123,2025-04-12 11:10:53+00:00,1
2557549,191,35.21659,-80.93124,2025-04-12 11:10:54+00:00,1
